PB0,PB1,PB2,PB3,GB0,GB1,GB2,GB3,CIN,CINB,PB_OUT,GB_OUT,CNX_OUT,CNY_OUT,CNZ_OUT,total_leakage
0,1,1,1,0,1,0,0,0,1,1,0,1,0,1,6909.182904004032
0,1,1,1,0,1,0,0,1,0,1,0,1,0,1,6936.26138729237
0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,6943.000705545221
0,1,1,1,0,1,0,1,1,0,1,1,1,0,1,6970.079188833559
0,1,1,1,0,1,1,0,0,1,1,0,1,0,0,6812.603381486835
0,1,1,1,0,1,1,0,1,0,1,0,1,0,0,6810.632282548093
0,1,1,1,0,1,1,1,0,1,1,1,1,0,0,6875.742278946727
0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,6873.771180007985
0,1,1,1,1,0,0,0,0,1,1,0,0,1,1,6662.2121503260005
0,1,1,1,1,0,0,0,1,0,1,0,1,1,1,6729.384703555939
0,1,1,1,1,0,0,1,0,1,1,1,0,1,1,6696.02995186719
0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,6763.202505097129
0,1,1,1,1,0,1,0,0,1,1,0,0,1,0,6502.082981415465
0,1,1,1,1,0,1,0,1,0,1,0,1,1,0,6540.205952418322
0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,6590.372521092993
0,1,1,1,1,0,1,1,1,0,1,1,1,1,0,6628.495492095852
0,1,1,1,1,1,0,0,0,1,1,0,0,0,1,6917.738310599848
0,1,1,1,1,1,0,0,1,0,1,0,1,0,1,7041.711087965045
0,1,1,1,1,1,0,1,0,1,1,1,0,0,1,6951.5561121410365
0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,7075.528889506234
0,1,1,1,1,1,1,0,0,1,1,0,0,0,0,6805.0860541220145
0,1,1,1,1,1,1,0,1,0,1,0,1,0,0,6916.081983220767
0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,7045.0131397043615
0,1,1,1,1,1,1,1,1,0,1,1,1,0,0,7156.009068803113
1,0,0,0,0,0,0,0,0,1,1,0,1,1,1,7248.586894358559
1,0,0,0,0,0,0,0,1,0,1,0,1,1,1,7330.137115783237
1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,7151.161059658071
1,0,0,0,0,0,0,1,1,0,1,0,1,1,1,7232.711281082749
1,0,0,0,0,0,1,0,0,1,1,0,1,1,1,7147.885200901026
1,0,0,0,0,0,1,0,1,0,1,0,1,1,1,7200.385840098624
1,0,0,0,0,0,1,1,0,1,1,0,1,1,1,7133.980686563958
1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,7186.481325761556
1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,7021.956511803367
1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,7049.034995091706
1,0,0,0,0,1,0,1,0,1,1,0,1,1,1,6924.530677102879
1,0,0,0,0,1,0,1,1,0,1,0,1,1,1,6951.609160391218
1,0,0,0,0,1,1,0,0,1,1,0,1,1,1,7013.854046966254
1,0,0,0,0,1,1,0,1,0,1,0,1,1,1,7011.882948027512
1,0,0,0,0,1,1,1,0,1,1,0,1,1,1,6999.949532629186
1,0,0,0,0,1,1,1,1,0,1,0,1,1,1,6997.978433690444
1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,7301.754107651987
1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,7217.56062866873
1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,7204.3282729514995
1,0,0,0,1,0,0,1,1,0,1,0,0,1,1,7120.134793968242
1,0,0,0,1,0,1,0,0,1,1,0,0,1,1,7201.052414194454
1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,7087.809352984115
1,0,0,0,1,0,1,1,0,1,1,0,0,1,1,7187.147899857386
1,0,0,0,1,0,1,1,1,0,1,0,0,1,1,7073.904838647047
1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,7298.488411208534
1,0,0,0,1,1,0,0,1,0,1,0,0,0,1,7271.095156360533
1,0,0,0,1,1,0,1,0,1,1,0,0,0,1,7201.062576508046
1,0,0,0,1,1,0,1,1,0,1,0,0,0,1,7173.669321660045
1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,7356.1736859139
1,0,0,0,1,1,1,0,1,0,1,0,0,0,0,7122.942660716363
1,0,0,0,1,1,1,1,0,1,1,1,0,0,0,7271.724699479856
1,0,0,0,1,1,1,1,1,0,1,1,0,0,0,7038.493674282319
1,0,0,1,0,0,0,0,0,1,1,0,1,1,1,7085.447713122387
1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,7166.997934547065
1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,6880.078577149299
1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,6961.628798573976
1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,6984.7460196648535
1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,7037.246658862451
1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,6862.8982040551855
1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,6915.398843252784
1,0,0,1,0,1,0,0,0,1,1,0,1,1,1,6858.817330567194
1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,6885.895813855534
1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,6653.448194594107
1,0,0,1,0,1,0,1,1,0,1,1,1,1,1,6680.526677882445
